PatchID	Year_0	Year_1	Year_2	Year_3	Year_4	Year_5	Year_6	Year_7	Year_8	Year_9	Year_10	Year_11	Year_12	Year_13	Year_14	Year_15	Year_16	Year_17	Year_18	Year_19	Year_20	Year_21	Year_22	Year_23	Year_24	Year_25	Year_26	Year_27	Year_28	Year_29	Year_30	Year_31	Year_32	Year_33	Year_34	Year_35	Year_36	Year_37	Year_38	Year_39	Year_40	Year_41	Year_42	Year_43	Year_44	Year_45	Year_46	Year_47	Year_48	Year_49	Year_50	Year_51	Year_52	Year_53	Year_54	Year_55	Year_56	Year_57	Year_58	Year_59	Year_60	Year_61	Year_62	Year_63	Year_64	Year_65	Year_66	Year_67	Year_68	Year_69	Year_70	Year_71	Year_72	Year_73	Year_74	Year_75	Year_76	Year_77	Year_78	Year_79	Year_80	Year_81	Year_82	Year_83	Year_84	Year_85	Year_86	Year_87	Year_88	Year_89	Year_90	Year_91	Year_92	Year_93	Year_94	Year_95	Year_96	Year_97	Year_98	Year_99	Year_100
14	0	0	0	0.02	0.02	0.02	0.06	0.08	0.1	0.09	0.1	0.11	0.1	0.12	0.08	0.08	0.06	0.03	0.01	0.04	0.05	0.06	0.04	0.04	0.05	0.05	0.04	0.04	0.02	0.03	0.03	0.03	0.05	0.04	0.06	0.04	0.04	0.06	0.02	0.03	0.07	0.07	0.06	0.04	0.04	0.08	0.09	0.06	0.07	0.07	0.09	0.07	0.1	0.07	0.08	0.08	0.07	0.06	0.05	0.05	0.08	0.13	0.11	0.07	0.1	0.1	0.09	0.1	0.1	0.07	0.08	0.06	0.09	0.08	0.08	0.09	0.1	0.12	0.1	0.06	0.08	0.07	0.06	0.1	0.11	0.09	0.09	0.08	0.1	0.09	0.11	0.14	0.13	0.1	0.12	0.09	0.08	0.11	0.1	0.12	0.12
15	1	1	1	0.98	0.94	0.9	0.89	0.83	0.75	0.73	0.7	0.67	0.63	0.56	0.53	0.43	0.33	0.4	0.38	0.33	0.33	0.3	0.31	0.31	0.29	0.35	0.32	0.31	0.32	0.32	0.33	0.4	0.4	0.4	0.46	0.49	0.5	0.53	0.54	0.54	0.59	0.52	0.56	0.57	0.55	0.53	0.56	0.57	0.5	0.55	0.53	0.55	0.55	0.51	0.53	0.49	0.51	0.52	0.55	0.55	0.55	0.54	0.57	0.58	0.57	0.56	0.57	0.62	0.62	0.57	0.64	0.61	0.55	0.53	0.53	0.56	0.5	0.49	0.54	0.6	0.6	0.59	0.59	0.56	0.59	0.58	0.57	0.55	0.56	0.55	0.59	0.65	0.62	0.67	0.63	0.61	0.62	0.62	0.64	0.62	0.61
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.02	0.02	0.04	0.04	0.03	0.04	0.07	0.08	0.06	0.05	0.07	0.11	0.14	0.11	0.11	0.14	0.15	0.2	0.16	0.17	0.17	0.16	0.15	0.16	0.17	0.15	0.17	0.18	0.2	0.18	0.18	0.19	0.16	0.13	0.15	0.2	0.22	0.18	0.19	0.16	0.2	0.19	0.27	0.23	0.14	0.2	0.16	0.22	0.2	0.25	0.21	0.2	0.19	0.19	0.19	0.23	0.25	0.29	0.29	0.3	0.24	0.22	0.17	0.19	0.19	0.21	0.25	0.27	0.28	0.27	0.27	0.27	0.21	0.19	0.2	0.21	0.2	0.19	0.21
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.02	0.06	0.07	0.08	0.08	0.04	0.08	0.09	0.11	0.12	0.09	0.09	0.11	0.14	0.16	0.17	0.15	0.14	0.2	0.17	0.19	0.18	0.22	0.23	0.2	0.19	0.19	0.18	0.22	0.21	0.29	0.28	0.33	0.28	0.28	0.28	0.23	0.21	0.18	0.2	0.19	0.25	0.22	0.21	0.2	0.24	0.19	0.19	0.2	0.17	0.23	0.24	0.25	0.26	0.26	0.26	0.24	0.24	0.28	0.24	0.29	0.29	0.3	0.29	0.3	0.28	0.25	0.2	0.24	0.32	0.25	0.24	0.27	0.24	0.29	0.27	0.3
18	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0.01	0.02	0.03	0.04	0.03	0.04	0.04	0.06	0.04	0.04	0.05	0.06	0.06	0.05	0.01	0.04	0.06	0.1	0.09	0.05	0.03	0.05	0.1	0.12	0.1	0.06	0.07	0.05	0.07	0.06	0.04	0.06	0.02	0.07	0.04	0.05	0.05	0.03	0.02	0.09	0.07	0.05	0.03	0.07	0.1	0.08	0.08	0.09	0.07	0.07	0.08	0.08	0.09	0.08	0.09	0.11	0.09	0.1	0.12	0.11	0.16	0.17	0.11	0.08	0.1	0.1	0.09	0.08	0.11	0.07	0.06	0.06	0.06	0.07	0.05	0.03	0.04	0.05	0.04	0.05	0.09	0.08
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.03	0.02	0.04	0.03	0.05	0.1	0.11	0.1	0.1	0.07	0.07	0.1	0.12	0.11	0.15	0.09	0.07	0.11	0.09	0.09	0.11	0.15	0.14	0.15	0.18	0.16	0.19	0.2	0.18	0.14	0.15	0.13	0.14	0.1	0.12	0.09	0.08	0.09	0.14	0.17	0.17	0.19	0.18	0.16	0.13	0.2	0.17	0.16	0.14	0.16	0.12	0.15	0.17	0.17	0.14	0.2	0.17	0.19	0.21	0.11	0.12	0.22	0.17	0.16	0.14	0.14	0.16	0.19	0.21	0.22	0.18	0.09	0.12	0.1	0.16
20	0	0	0	0.01	0.07	0.09	0.1	0.13	0.15	0.21	0.22	0.24	0.26	0.26	0.23	0.21	0.22	0.22	0.19	0.25	0.23	0.26	0.25	0.26	0.32	0.31	0.29	0.37	0.33	0.35	0.36	0.36	0.4	0.41	0.49	0.52	0.48	0.47	0.41	0.43	0.45	0.52	0.51	0.47	0.48	0.54	0.55	0.56	0.56	0.55	0.55	0.49	0.55	0.54	0.52	0.47	0.47	0.47	0.47	0.49	0.51	0.54	0.57	0.54	0.51	0.5	0.47	0.53	0.47	0.49	0.53	0.48	0.47	0.46	0.46	0.49	0.5	0.53	0.55	0.51	0.5	0.53	0.53	0.57	0.58	0.62	0.62	0.55	0.5	0.56	0.54	0.54	0.6	0.59	0.55	0.6	0.53	0.56	0.57	0.58	0.59
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.04	0.04	0.06	0.09	0.08	0.07	0.08	0.1	0.09	0.12	0.08	0.11	0.13	0.13	0.1	0.15	0.14	0.19	0.13	0.13	0.19	0.15	0.15	0.14	0.18	0.22	0.2	0.13	0.14	0.15	0.15	0.19	0.22	0.21	0.19	0.19	0.22	0.21	0.19	0.21	0.18	0.16	0.14	0.18	0.18	0.2	0.2	0.23	0.27	0.24	0.26	0.18	0.18	0.14	0.21	0.21	0.15	0.19	0.21	0.24	0.21	0.2	0.22	0.27	0.27	0.23	0.17	0.18	0.21	0.2	0.2	0.17	0.16	0.2	0.19	0.2	0.17	0.24	0.18
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0.02	0.02	0.02	0.03	0.01	0	0.01	0.01	0	0.01	0.01	0	0.02	0.01	0.02	0.01	0.02	0.02	0.01	0.03	0.04	0.05	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.05	0.06	0.08	0.06	0.04	0.05	0.06	0.06	0.05	0.06	0.1	0.1	0.08	0.06	0.06	0.07	0.08	0.08	0.09	0.06	0.06	0.05	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.06	0.05	0.05	0.06	0.05	0.06	0.06	0.04	0.03	0.02
23	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.02	0.02	0.05	0.06	0.07	0.08	0.07	0.09	0.12	0.13	0.16	0.14	0.15	0.19	0.21	0.15	0.19	0.16	0.16	0.18	0.14	0.18	0.22	0.25	0.22	0.18	0.17	0.25	0.18	0.12	0.14	0.19	0.21	0.21	0.25	0.23	0.22	0.2	0.19	0.18	0.14	0.2	0.24	0.27	0.28	0.25	0.24	0.28	0.27	0.24	0.29	0.28	0.25	0.25	0.23	0.18	0.17	0.14	0.14	0.15	0.16	0.21	0.21	0.24	0.19	0.18	0.22	0.24	0.24	0.22	0.26	0.19	0.16	0.17	0.16	0.18	0.19	0.16	0.16	0.24	0.19	0.22	0.28	0.3	0.27	0.32
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.02	0.01	0.02	0.03	0.03	0.06	0.06	0.08	0.06	0.09	0.1	0.12	0.1	0.09	0.1	0.12	0.14	0.13	0.07	0.12	0.11	0.14	0.16	0.15	0.13	0.16	0.15	0.14	0.12	0.09	0.13	0.13	0.15	0.14	0.11	0.1	0.13	0.14	0.12	0.17	0.11	0.12	0.08	0.07	0.14	0.16	0.12	0.11	0.11	0.07	0.1	0.09	0.1	0.15	0.19	0.23	0.15	0.11	0.11	0.12	0.15	0.11	0.13	0.17	0.19	0.18	0.19	0.14	0.13	0.15	0.15	0.15	0.16	0.15	0.13	0.13	0.13	0.14	0.14	0.12	0.13	0.13	0.12	0.13	0.13	0.17
25	0	0	0	0	0	0.01	0.07	0.16	0.27	0.28	0.34	0.41	0.47	0.52	0.56	0.61	0.65	0.63	0.6	0.64	0.67	0.67	0.68	0.67	0.68	0.7	0.7	0.71	0.69	0.7	0.7	0.7	0.69	0.69	0.68	0.7	0.71	0.7	0.71	0.69	0.71	0.71	0.71	0.71	0.7	0.7	0.7	0.7	0.69	0.7	0.68	0.71	0.71	0.7	0.69	0.68	0.69	0.7	0.68	0.71	0.7	0.71	0.71	0.72	0.73	0.73	0.72	0.7	0.72	0.72	0.71	0.7	0.73	0.73	0.73	0.75	0.74	0.73	0.75	0.74	0.75	0.75	0.74	0.73	0.75	0.75	0.73	0.71	0.73	0.75	0.75	0.75	0.75	0.74	0.74	0.74	0.75	0.75	0.74	0.74	0.75
26	0	0	0	0.01	0.01	0.02	0.03	0.01	0	0	0	0	0	0.01	0.04	0.03	0.05	0.09	0.08	0.1	0.14	0.15	0.16	0.19	0.19	0.23	0.24	0.26	0.33	0.36	0.35	0.4	0.4	0.46	0.42	0.42	0.4	0.4	0.45	0.47	0.47	0.47	0.43	0.49	0.51	0.53	0.54	0.51	0.55	0.55	0.58	0.53	0.56	0.53	0.51	0.51	0.54	0.54	0.52	0.52	0.47	0.53	0.5	0.48	0.47	0.51	0.51	0.47	0.5	0.53	0.55	0.58	0.61	0.59	0.6	0.5	0.51	0.52	0.54	0.54	0.54	0.52	0.48	0.5	0.53	0.59	0.54	0.53	0.53	0.5	0.49	0.53	0.55	0.52	0.5	0.52	0.5	0.5	0.55	0.59	0.52
27	0	0	0	0.07	0.19	0.37	0.38	0.39	0.42	0.51	0.52	0.5	0.53	0.45	0.49	0.45	0.41	0.43	0.43	0.37	0.38	0.33	0.31	0.28	0.22	0.3	0.32	0.29	0.32	0.31	0.27	0.19	0.23	0.31	0.3	0.24	0.28	0.3	0.29	0.31	0.27	0.28	0.26	0.28	0.26	0.31	0.28	0.27	0.31	0.33	0.41	0.38	0.39	0.35	0.34	0.35	0.33	0.34	0.34	0.36	0.37	0.3	0.3	0.34	0.33	0.32	0.35	0.34	0.34	0.33	0.36	0.34	0.29	0.33	0.34	0.36	0.31	0.31	0.3	0.33	0.33	0.3	0.36	0.36	0.37	0.39	0.38	0.34	0.35	0.31	0.32	0.35	0.31	0.35	0.32	0.37	0.39	0.37	0.31	0.31	0.34
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.02	0.02	0.03	0.03	0.02	0.01	0.02	0.02	0.03	0.03	0.03	0.01	0.01	0.02	0.02	0.01	0.01	0.03	0.02	0.01	0.01	0.02	0.02	0.03	0.01	0.06	0.01	0.01	0.01	0	0.02	0.03	0.02	0.01	0.02	0.02	0.03	0.03	0.03	0.04	0.04	0.03	0.01	0.02	0.03	0.03	0.04	0.07	0.07	0.05	0.04	0.04
29	1	1	1	1	0.98	0.94	0.91	0.88	0.81	0.69	0.6	0.58	0.55	0.51	0.44	0.31	0.4	0.32	0.38	0.38	0.36	0.29	0.29	0.25	0.22	0.22	0.2	0.24	0.19	0.21	0.23	0.26	0.28	0.27	0.26	0.26	0.26	0.24	0.2	0.24	0.25	0.22	0.22	0.23	0.22	0.26	0.22	0.21	0.25	0.29	0.28	0.3	0.3	0.26	0.28	0.31	0.28	0.34	0.36	0.29	0.27	0.26	0.24	0.23	0.23	0.25	0.22	0.26	0.26	0.25	0.25	0.28	0.27	0.28	0.25	0.29	0.28	0.31	0.31	0.31	0.33	0.37	0.39	0.34	0.31	0.34	0.33	0.31	0.33	0.37	0.36	0.35	0.29	0.29	0.32	0.33	0.36	0.3	0.3	0.28	0.29
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.02	0	0	0.01	0.01	0.02	0.02	0.03	0.01	0	0	0	0.02	0.02	0.01	0.03	0.03	0.04	0.04	0.02	0.03	0.03	0.05	0.04	0.05	0.06	0.06	0.06	0.07	0.06	0.07	0.06	0.06	0.05	0.04	0.05	0.05	0.08	0.04	0.07	0.08	0.08	0.08	0.06	0.07	0.08	0.07	0.06	0.08	0.06	0.06	0.06	0.08	0.08	0.08	0.07	0.07	0.09	0.07	0.08	0.07	0.04	0.04	0.01	0.03	0.03	0.02	0.04	0.06	0.09	0.1	0.07
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0.02	0.01	0.01	0.02	0.02	0.02	0.03	0.01	0.01	0.02	0.02	0.03	0.03	0.03	0.03	0.05	0.05	0.06	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.06	0.08	0.09	0.1	0.09	0.11	0.1	0.09	0.1	0.1	0.08	0.09	0.11	0.08	0.09	0.09	0.12	0.16	0.13	0.12	0.12	0.15	0.17	0.18	0.17	0.18	0.16	0.17	0.16	0.15	0.19	0.19	0.18	0.18	0.15	0.14	0.16	0.15	0.16
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.04	0.04	0.03	0.05	0.05	0.06	0.06	0.05	0.05	0.06	0.06	0.07	0.06	0.06	0.07	0.06	0.05	0.09	0.08	0.07	0.08	0.11	0.11	0.11	0.11	0.1	0.13	0.15	0.16	0.14	0.15	0.15	0.13	0.13	0.14	0.14	0.15	0.15	0.17	0.15	0.18	0.19	0.2	0.19	0.19	0.21	0.2	0.19	0.19	0.22	0.25	0.24	0.21
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0	0.01	0.01	0.01	0.03	0.02	0.01	0.02	0.01	0.01	0.03	0.02	0.02	0.02	0.01	0.02	0.05	0.02	0.02	0.01	0.01	0.02	0.02	0.03	0.01	0.01	0.01	0.02	0	0	0.01	0.01	0.02	0.06	0.06	0.06	0.05	0.07	0.06	0.05	0.05	0.08	0.07	0.05	0.08	0.1	0.09	0.08	0.11	0.09	0.1	0.1	0.08	0.09	0.1	0.11	0.08	0.08	0.1	0.11	0.09	0.11
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0	0	0	0	0	0.01	0.01	0.01	0.01	0	0	0	0.01	0.02	0.02	0.03	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.01	0.02	0.03	0.03	0.03	0.03	0.04	0.03	0.02	0.03	0.01	0.01	0.01	0.02	0.02	0.02	0.04	0.05	0.06	0.08	0.1	0.08	0.1	0.1	0.09	0.1	0.11	0.1	0.08	0.08	0.08	0.06	0.11	0.11	0.13	0.12	0.13	0.12	0.12
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.03	0.05	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.06	0.06	0.07	0.05	0.04	0.02	0.04	0.04	0.02	0.05	0.03	0.07	0.03	0.03	0.03	0.04	0.04	0.07	0.09	0.12	0.1	0.08	0.1	0.08	0.1	0.11	0.1	0.12	0.12	0.07	0.08
